iter	MultiClass
0	1.082148636
1	1.069184666
2	1.058133184
3	1.049728713
4	1.04293674
5	1.036652575
6	1.031891485
7	1.027798807
8	1.02398778
9	1.020715868
10	1.017791834
11	1.015006923
12	1.013141583
13	1.011273867
14	1.009640326
15	1.007830688
16	1.00457206
17	1.003391638
18	1.002258774
19	0.9999833503
20	0.9975887668
21	0.995898425
22	0.9935523694
23	0.9925704632
24	0.9917246091
25	0.9911077478
26	0.9888976457
27	0.9873792178
28	0.9866754787
29	0.9860458246
30	0.9844753159
31	0.9830242963
32	0.9824867999
33	0.9819366737
34	0.9814811296
35	0.980459283
36	0.9800667999
37	0.9795083039
38	0.9784417552
39	0.977572807
40	0.9765771824
41	0.9761712527
42	0.975624887
43	0.9745231921
44	0.9740118048
45	0.9735325564
46	0.9731239033
47	0.9723593522
48	0.9717784772
49	0.971365092
50	0.9707430789
51	0.9697671414
52	0.9686526188
53	0.9682721033
54	0.9678929724
55	0.9675529061
56	0.9672321225
57	0.9669723995
58	0.966255865
59	0.9658707458
60	0.9654310107
61	0.9651007693
62	0.9648106177
63	0.9645697122
64	0.9642342607
65	0.9640094193
66	0.9637053062
67	0.963454787
68	0.9630877789
69	0.9628734342
70	0.9622508254
71	0.9615415838
72	0.9613133473
73	0.9611392317
74	0.9608095937
75	0.9605791118
76	0.9601780728
77	0.959919348
78	0.9595685724
79	0.959133693
80	0.9586838051
81	0.9584893695
82	0.958038553
83	0.9578945806
84	0.9575335698
85	0.957367059
86	0.9571184947
87	0.9568185966
88	0.9565092387
89	0.9563541136
90	0.9561049845
91	0.9559074519
92	0.9557573927
93	0.9555954949
94	0.955356666
95	0.9551160197
96	0.9549499752
97	0.9547077012
98	0.9545720629
99	0.9544348989
100	0.9541265631
101	0.9539540421
102	0.9537319138
103	0.9534351779
104	0.9529514176
105	0.9527730516
106	0.952082803
107	0.951847441
108	0.9516741461
109	0.951522307
110	0.9511829028
111	0.9509561287
112	0.9506658895
113	0.9503986359
114	0.9501258863
115	0.949886093
116	0.9493110299
117	0.9491091837
118	0.948861205
119	0.9486291855
120	0.9483716367
121	0.9481887125
122	0.9480330736
123	0.9477653577
124	0.9474898634
125	0.9472386209
126	0.9470503226
127	0.9467833139
128	0.9466012948
129	0.9462171632
130	0.9459560675
131	0.9456856877
132	0.9454395555
133	0.9451743235
134	0.9446223035
135	0.9444705575
136	0.9441860412
137	0.9439751063
138	0.9436938339
139	0.9434851509
140	0.9433310286
141	0.9430954044
142	0.942887277
143	0.9426284317
144	0.9421540157
145	0.9419109553
146	0.941572535
147	0.9411546601
148	0.9410260251
149	0.9408331499
150	0.94060774
151	0.9404406523
152	0.940238567
153	0.9399942093
154	0.939686807
155	0.9395440354
156	0.9392366485
157	0.9390819874
158	0.9389018832
159	0.9387052704
160	0.9385855213
161	0.9383960907
162	0.9381876425
163	0.937979476
164	0.9377070759
165	0.9374634356
166	0.9373388511
167	0.9370200443
168	0.9367984149
169	0.9366013117
170	0.9363553194
171	0.9361480029
172	0.9360197749
173	0.9358476079
174	0.9356338028
175	0.9355212024
176	0.9353907019
177	0.9351073267
178	0.9349968671
179	0.9347885853
180	0.9346148689
181	0.934421179
182	0.9342248928
183	0.9340376602
184	0.9338413793
185	0.9336908123
186	0.9334775851
187	0.933302532
188	0.9329694493
189	0.9328194693
190	0.9326136858
191	0.9324916237
192	0.9323157073
193	0.9319429173
194	0.9318216068
195	0.9315232952
196	0.9314019414
197	0.9312084952
198	0.9310628732
199	0.9308170295
