iter	Passed	Remaining
0	26	5337
1	39	3938
2	52	3420
3	63	3089
4	74	2904
5	87	2813
6	98	2725
7	110	2648
8	121	2587
9	134	2553
10	146	2509
11	156	2456
12	168	2419
13	179	2387
14	191	2358
15	204	2349
16	216	2331
17	230	2331
18	240	2294
19	254	2286
20	268	2284
21	279	2265
22	291	2244
23	304	2231
24	316	2215
25	327	2194
26	340	2178
27	351	2159
28	364	2149
29	375	2128
30	387	2109
31	400	2102
32	411	2083
33	421	2059
34	433	2044
35	444	2026
36	455	2006
37	467	1991
38	480	1985
39	492	1971
40	503	1953
41	515	1939
42	526	1922
43	536	1902
44	548	1889
45	559	1873
46	570	1855
47	581	1842
48	591	1822
49	602	1807
50	614	1794
51	625	1781
52	636	1765
53	646	1747
54	656	1730
55	666	1713
56	676	1696
57	685	1678
58	695	1662
59	706	1648
60	719	1639
61	732	1631
62	744	1617
63	753	1601
64	763	1585
65	773	1569
66	783	1554
67	792	1538
68	802	1524
69	811	1507
70	822	1494
71	833	1481
72	843	1467
73	853	1453
74	864	1441
75	875	1428
76	885	1415
77	895	1400
78	905	1387
79	917	1375
80	927	1362
81	937	1349
82	948	1336
83	958	1322
84	969	1311
85	978	1297
86	988	1283
87	998	1270
88	1008	1257
89	1018	1244
90	1028	1232
91	1039	1219
92	1048	1206
93	1057	1192
94	1068	1180
95	1078	1168
96	1087	1154
97	1098	1143
98	1107	1129
99	1117	1117
100	1128	1106
101	1138	1093
102	1147	1080
103	1157	1068
104	1168	1057
105	1178	1044
106	1188	1032
107	1198	1021
108	1209	1009
109	1219	997
110	1230	986
111	1239	974
112	1251	963
113	1298	979
114	1313	971
115	1325	960
116	1341	951
117	1355	941
118	1368	931
119	1380	920
120	1392	909
121	1403	897
122	1414	885
123	1425	873
124	1436	862
125	1446	849
126	1456	837
127	1467	825
128	1477	813
129	1487	801
130	1497	788
131	1508	777
132	1518	764
133	1529	753
134	1541	742
135	1551	730
136	1560	717
137	1572	706
138	1582	694
139	1592	682
140	1602	670
141	1611	658
142	1621	646
143	1633	635
144	1644	623
145	1655	612
146	1665	600
147	1676	589
148	1687	577
149	1697	565
150	1707	554
151	1718	542
152	1728	530
153	1739	519
154	1750	508
155	1760	496
156	1771	485
157	1781	473
158	1791	461
159	1801	450
160	1811	438
161	1821	427
162	1831	415
163	1842	404
164	1854	393
165	1865	382
166	1875	370
167	1885	359
168	1896	347
169	1906	336
170	1917	325
171	1927	313
172	1938	302
173	1949	291
174	1960	280
175	1970	268
176	1982	257
177	1993	246
178	2002	234
179	2014	223
180	2025	212
181	2036	201
182	2046	190
183	2055	178
184	2065	167
185	2078	156
186	2087	145
187	2097	133
188	2109	122
189	2118	111
190	2129	100
191	2139	89
192	2150	77
193	2160	66
194	2170	55
195	2181	44
196	2191	33
197	2201	22
198	2210	11
199	2222	0
